iter	Passed	Remaining
0	1	148
1	2	127
2	3	120
3	4	105
4	5	100
5	6	97
6	7	96
7	8	93
8	8	90
9	9	89
10	10	88
11	11	87
12	12	86
13	14	86
14	15	85
15	16	86
16	18	88
17	19	89
18	20	88
19	21	86
20	22	85
21	23	84
22	24	82
23	25	80
24	26	79
25	27	77
26	28	76
27	29	74
28	29	73
29	31	72
30	32	72
31	33	72
32	34	71
33	35	69
34	37	68
35	38	67
36	38	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	44	57
44	46	56
45	47	55
46	47	54
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	53	45
54	54	44
55	55	43
56	56	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	36
62	61	35
63	62	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
